id;code_client;denomination;domaine_activite;site_web;compte_face_book;compte_twitter
1;reciprocal payment;Kuwait;Belize Dollar compressing Handcrafted;Rhode Island Administrator compressing;array;foreground strategy Metrics
2;Money Market Account invoice;Grocery;capacitor Handcrafted Rubber Car;iterate;PNG Avon Auto Loan Account;global Springs Checking Account
3;superstructure parsing Ergonomic;Maine uniform index;Home Loan Account Corporate;Wooden;Associate Solomon Islands Dollar;Savings Account Mouse back-end
4;Mill Ergonomic online;Handmade;Handcrafted Plastic Salad Idaho;Branding parsing;orange;copying
5;Gibraltar regional;Chair Via;Interactions Bike;payment;Borders;Forward overriding Product
6;Avon global;Electronics;Automotive Music dynamic;analyzing;Pants;distributed sexy Gorgeous
7;National Nicaragua Cambridgeshire;Cotton;Director optical COM;Licensed invoice Supervisor;Checking Account invoice;Keyboard Checking Account
8;Handmade Metal Shoes;Central Hollow SQL;Licensed Fresh Pizza bricks-and-clicks;magnetic systems;expedite Central cohesive;efficient reinvent generating
9;interfaces Fresh;Interactions;index;action-items Mouse;calculate red;SAS hack Producer
10;Saint Helena Pound withdrawal Soft;Intelligent synthesize;Money Market Account Ergonomic;FTP Handmade Rubber Fish Mexico;Granite Maryland payment;haptic cyan
